Limes--label-organic,$1.65,/lb,Organic-Waxed
Limes,$0.82,/lb,Conventional-Waxed
Longans-organic-(cousin-of-lychee),$10.67,/lb,Organic
Mangos--organic,$1.34,/lb,Organic
Mangos-ataulfo-organic,$2.19,/lb,Organic
Mangos-haitian,$1.60,/lb,Conventional
Melon-bitter-organic,$3.76,/lb,Organic
Melons-cantaloupe-label-organic,$1.92,/lb,Organic
Melons-cantaloupe,$0.70,/lb,Conventional
Melons-honeydew-label-organic,$1.83,/lb,Organic
Melons-honeydew,$4.43,each,Conventional
Melons-little-sweetie-cantaloupe-organic,$2.00,/lb,Organic
Micro-greens-blue-moon-various-pest/free,$6.11,each,Organic
Micro-greens-basil-organic,$2.53,each,Organic
Micro-greens-broccoli-organic,$3.14,each,Organic
Micro-greens-daikon-radish-organic,$3.74,each,Organic
Micro-greens-watercress-organic,$3.14,each,Organic
Mint-chocolate-organic-twisties/label,$2.76,/bunch,Organic
Mint-orange-organic-twisties/label,$2.76,/bunch,Organic
Mint-organic-twisties/label,$2.76,/bunch,Organic
Mint-pineapple-organic-twisties/label,$2.76,each,Organic
Mint,$1.62,/bunch,Conventional
Mushroom-bunashimeji-brown-beech-organic,$2.48,each,Organic
Mushroom-chanterelles,$23.19,/lb,Conventional
Mushroom-chicken-of-the-woods,$18.35,/lb,Conventional
Mushroom-cremini-organic,$3.53,/lb,Organic
Mushroom-enoki,$1.29,each,Conventional
Mushroom-lobster,$29.24,/lb,Conventional
Mushroom-maitake-cup-organic,$4.05,each,Organic
Mushroom-morels-black,$32.07,/lb,Conventional
Mushroom-nebrodini-organic,$13.75,/lb,Organic
Mushroom-oyster,$5.03,/lb,Conventional
Mushroom-portobello-with-stems-organic,$4.53,/lb,Organic
Mushroom-royal-trumpet-organic,$14.16,/lb,Organic
Mushroom-shiitake-4oz-cups-organic,$4.32,each,Organic
Mushroom-shiitake-organic,$8.71,/lb,Organic
Mushroom-white-8oz-cups-organic,$1.76,each,Organic
Mushroom-white-loose-organic,$2.88,/lb,Organic
Mustards--bunch-organic,$2.90,/bunch,Organic
Mustards-loose-organic,$10.12,/lb,Organic
Nectarines--yellow-organic,$3.20,/lb,Organic
Nectarines-white-organic,$3.74,/lb,Organic
Nectarines-yellow-IPM,$1.64,/lb,Minimally-Treated
Okra--organic,$3.25,/lb,Organic
Onion--sweet-organic-label,$1.41,/lb,Organic
Onion-vidalia-41594166-blank-label,$0.80,/lb,Conventional
Onions--3-lb-bags,$1.56,each,Conventional
Onions-fresh-bunch-organic,$2.48,/bunch,Organic
Onions-red-label-organic,$1.57,/lb,Organic
Onions-red,$1.07,/lb,Conventional
Onions-white-organic,$1.40,/lb,Organic
Onions-yellow-no-label-loose-organic,$1.30,/lb,Organic
Oranges-valencia-California-organic,$1.85,/lb,Organic-Waxed
Oregano-cup-organic,$2.53,each,Organic
Papaya-golden-solo-organic,$5.12,/lb,Organic
Papaya-Mexican-organic,$1.55,/lb,Organic
Papaya-red-flesh,$1.26,/lb,Conventional
Parsley-curly-organic-twistie,$2.09,/bunch,Organic
Parsley-plain-organic-twistie,$2.09,/bunch,Organic
Parsley-curly,$0.47,/bunch,Conventional
Parsley-plain,$0.49,/bunch,Conventional
Peaches-donut-white-IPM,$1.49,/lb,Minimally-Treated
Peaches-white-IPM,$1.49,/lb,Minimally-Treated
Peaches-yellow-IPM,$1.55,/lb,Integrated-Pest-Management
Peaches-yellow#4403/2,$1.36,/lb,Conventional
Peas-snow,$1.95,/lb,Conventional
Peas-sugar-snap,$3.16,/lb,Conventional
Peppers-banana-hot-organic,$3.76,/lb,Organic
Peppers-cayenne-organic,$4.97,/lb,Organic
Peppers-cherry-hot-organic,$2.28,/lb,Organic
Peppers-green-label-organic,$2.50,/lb,Organic
Peppers-green,$1.26,/lb,Conventional
Peppers-hot-dried-cup-assorted-organic,$1.81,each,Organic
Peppers-hot-mix-organic,$3.76,/lb,Organic
Peppers-jalapeno-organic,$3.88,/lb,Organic
Peppers-mini-sweet-bags/cups-organic,$4.30,each,Organic
Peppers-orange-label-organic,$4.82,/lb,Organic
Peppers-orange,$3.09,/lb,Conventional
Peppers-poblano,$0.94,/lb,Conventional
Peppers-purple-organic,$1.82,/lb,Organic
Peppers-red-label-organic,$4.99,/lb,Organic
Peppers-red,$1.36,/lb,Conventional-Waxed
Peppers-serrano-organic,$6.91,/lb,Organic
Peppers-shishito-organic,$6.18,/lb,Organic
Peppers-yellow-label-organic,$4.66,/lb,Organic
Peppers-yellow,$2.65,/lb,Conventional
Pickles-jar-local-organic,$7.98,each,Organic
Pineapple-gold-dole-organic,$4.46,each,Organic
Pineapple-gold-type-Del-Monte,$2.35,each,Conventional-Waxed
Plants-thai-basil-organic,$4.37,each,Organic
Platanos-green-(plantains),$0.68,/lb,Conventional
Platanos-yellow-(plantains),$0.68,/lb,Conventional
Plums-black-owen-t-organic,$2.90,/lb,Organic
Plums-oblinaga-minimally-treated,$2.41,/lb,Minimally-Treated
Plums-oshi-washi-minimally-treated,$2.41,/lb,Minimally-Treated
Plums-red-fortune/hiromi-organic,$2.10,/lb,Organic
Plums-red-sugar-minimally-treated,$2.41,/lb,Minimally-Treated
Plums-yellow-shiro-minimally-treated,$2.41,/lb,Minimally-Treated
Pluots--organic,$2.29,/lb,Organic
Pluots-cup-organic,$5.53,each,Organic
Potato-fingerling-loose-organic,$2.18,/lb,Organic
Potatoes--5lb-bag-russet-organic,$5.88,each,Organic
Potatoes-creamer-organic,$4.04,each,Organic
Potatoes-gold-organic,$1.12,/lb,Organic
Potatoes-mixed-mini-round-loose-organic,$3.09,/lb,Organic
Potatoes-red-organic,$1.24,/lb,Organic
Potatoes-russet-loose-organic,$1.55,/lb,Organic
Potatoes-white-small-15lb-bag-organic,$2.23,each,Organic
Purslane-organic,$1.34,/lb,Organic
Radicchio--red-organic,$4.38,/lb,Organic
Radish--bunch-organic,$1.61,/bunch,Organic
Radish-loose-organic,$3.21,/lb,Organic
Raspberries--red-organic,$3.69,each,Organic
Raspberries-local-open-cup-IPM,$3.74,each,Integrated-Pest-Management
Sage-cup-organic,$2.53,each,Organic
Salad-mix-16oz-local-organic,$8.92,each,Organic
Salad-mix-16oz-organic,$5.89,each,Organic
Salad-mix-5oz-bag/cup-local-organic,$3.39,each,Pesticide-Free
Salad-mix-5oz-organic,$3.45,each,Organic
Salad-mix-8oz-organic,$4.55,each,Organic
Salad-mix-loose-organic,$8.69,/lb,Organic
Salad-butterhead-gotham-greens-pest/free,$3.59,each,Pesticide-Free
Salad-flower-power-5oz-organic,$4.95,each,Organic
Salad-kale-16oz-organic,$8.92,each,Organic
Salad-kale-5oz-local-organic,$4.14,each,Organic
Salad-spicy-greens-5oz-organic,$4.14,each,Organic
Salad-tatsoi-5oz-organic,$4.14,each,Organic
Scallions--label-organic,$1.98,/bunch,Organic
Scallions-red-organic,$2.15,/bunch,Organic
Scallions,$0.66,/bunch,Conventional
Shallots-loose-label-organic,$4.51,/lb,Organic
Shallots,$1.14,/lb,Conventional
Shiso-bunch-organic,$1.30,/bunch,Organic
Spinach-baby-16oz-local-organic,$8.92,each,Organic
Spinach-baby-16oz-organic,$5.87,each,Organic
Spinach-baby-5oz-bag/cup-local-organic,$4.30,each,Organic
Spinach-baby-5oz-organic-girl,$3.45,each,Organic
Spinach-baby-8oz-organic,$4.55,each,Organic
Spinach-baby-loose-green/red-organic,$9.30,/lb,Organic
Spinach-bunch-organic,$2.30,/bunch,Organic
Sprouts-alfalfa-organic,$1.40,each,Organic
Sprouts-bean-(mung)-organic,$1.81,each,Organic
Sprouts-crunchy/mix-bean-organic,$2.08,each,Organic
Sprouts-snow-pea-4oz-organic,$3.75,each,Organic
Sprouts-spicy-organic,$1.87,each,Organic
